Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Collection_time,colony_height_m,colony_width1,colony_width2,concatenated_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,env_broad_scale,env_local_scale,env_medium,Experiment,field_host_genus_id,field_host_species_id,FileName_Forward,FileName_Reverse,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,individual_sample_name,Instrument,isol_growth_condt,isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,parent_colony,Platform,ReleaseDate,create_date,version,Sample Name,sampling_reef_name_detail,sampling_reef_name,SRA Study,status,Substrate,tag_color,tag_number,temperature,Transplant_YN,Transplantation_status,Transplanted_from,transplanted_to,visibility_m,survivorship
SRR12022422,AMPLICON,302,9905298,PRJNA639618,SAMN15241185,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",3502086,THE PENNSYLVANIA STATE UNIVERSITY,2016-10-14,1904-01-01T10:28:00,3,11,14,20161014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4,coral reef,not applicable,tissue,SRX8554538,Siderastrea,siderea,C632_S265_L001_R1_001.fastq.gz,C632_S265_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Varadero reef",Siderastrea siderea,E18.Side.sid.V4A.20161014.T,Illumina MiSeq,not applicable,not applicable,10.3064722 N 75.5855556 W,E18.Side.sid.VNA.NA.20161014.T.C632,PAIRED,PCR,GENOMIC,coral metagenome,NA,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C632,Varadero_4A,Varadero,SRP267486,NA,sand,NA,NA,30,n,NA,NA,NA,10,NA
SRR12022424,AMPLICON,302,31878214,PRJNA639618,SAMN15241157,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",10593266,THE PENNSYLVANIA STATE UNIVERSITY,2016-10-14,1904-01-01T10:00:00,1,4,5,20161014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",3.5,coral reef,not applicable,tissue,SRX8554536,Orbicella,faveolata,C603_S78_L001_R1_001.fastq.gz,C603_S78_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Varadero reef\, transplant platform",Orbicella faveolata,E18.Orbi.fav.V18.pre.20161014.T,Illumina MiSeq,not applicable,not applicable,10.3064722 N 75.5855556 W,E18.Orbi.fav.V18.pre.20161014.T.C603,PAIRED,PCR,GENOMIC,coral metagenome,Varadero_16,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C603,Varadero,Varadero,SRP267486,Varadero_pretransplantation,transplant_platform,yellow,18,30,y,pretransplantation,Varadero,pretransplantation,10,alive
SRR12022425,AMPLICON,502,28343924,PRJNA639618,SAMN15241448,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",18836455,THE PENNSYLVANIA STATE UNIVERSITY,2017-05-03,1904-01-01T12:53:00,120,150,160,20170503,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",7.2,coral reef,not applicable,tissue,SRX8554535,Orbicella,faveolata,C-931_S187_L001_R1_001.fastq.gz,C-931_S187_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Rosario reef",Orbicella faveolata,E19.Orbi.fav.RNA.NA.20170503.T,Illumina MiSeq,not applicable,not applicable,10.1866944 N 75.7452778 W,E19.Orbi.fav.RNA.NA.20170503.T.C931,PAIRED,PCR,GENOMIC,coral metagenome,NA,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C931,Rosario,Rosario,SRP267486,NA,Dead coral,NA,NA,29,n,NA,NA,NA,23,NA
SRR12022439,AMPLICON,502,41872322,PRJNA639618,SAMN15241435,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",28893614,THE PENNSYLVANIA STATE UNIVERSITY,2017-05-01,1904-01-01T15:17:00,8,8,12,20170501,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4.1,coral reef,not applicable,tissue,SRX8554521,Siderastrea,siderea,C-909_S73_L001_R1_001.fastq.gz,C-909_S73_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Varadero reef",Siderastrea siderea,E19.Side.sid.VNA.NA.20170501.T,Illumina MiSeq,not applicable,not applicable,10.3064722 N 75.5855556 W,E19.Side.sid.VNA.NA.20170501.T.C909,PAIRED,PCR,GENOMIC,coral metagenome,NA,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C909,Varadero,Varadero,SRP267486,NA,Reef,NA,NA,30,n,NA,NA,NA,10,NA
SRR12022440,AMPLICON,502,35745914,PRJNA639618,SAMN15241434,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",24428371,THE PENNSYLVANIA STATE UNIVERSITY,2017-05-01,1904-01-01T15:13:00,60,55,100,20170501,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",3.2,coral reef,not applicable,tissue,SRX8554520,Orbicella,faveolata,C-908_S72_L001_R1_001.fastq.gz,C-908_S72_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Varadero reef",Orbicella faveolata,E19.Orbi.fav.VNA.NA.20170501.T,Illumina MiSeq,not applicable,not applicable,10.3064722 N 75.5855556 W,E19.Orbi.fav.VNA.NA.20170501.T.C908,PAIRED,PCR,GENOMIC,coral metagenome,NA,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C908,Varadero,Varadero,SRP267486,NA,Reef,NA,NA,30,n,NA,NA,NA,10,NA
SRR12022441,AMPLICON,302,11751726,PRJNA639618,SAMN15241182,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",4125938,THE PENNSYLVANIA STATE UNIVERSITY,2016-10-14,1904-01-01T10:00:00,1,4,5,20161014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",3.5,coral reef,not applicable,tissue,SRX8554519,Orbicella,faveolata,C629_S262_L001_R1_001.fastq.gz,C629_S262_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Varadero reef\, transplant platform",Orbicella faveolata,E18.Orbi.fav.V69.pre.20161014.T,Illumina MiSeq,not applicable,not applicable,10.3064722 N 75.5855556 W,E18.Orbi.fav.V69.pre.20161014.T.C629,PAIRED,PCR,GENOMIC,coral metagenome,Varadero_66,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C629,Varadero,Varadero,SRP267486,Varadero_pretransplantation,transplant_platform,yellow,69,30,y,pretransplantation,Varadero,pretransplantation,10,alive
SRR12022442,AMPLICON,502,32613434,PRJNA639618,SAMN15241433,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",22533309,THE PENNSYLVANIA STATE UNIVERSITY,2017-05-01,1904-01-01T15:03:00,13,18,4,20170501,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",3.2,coral reef,not applicable,tissue,SRX8554518,Siderastrea,siderea,C-907_S177_L001_R1_001.fastq.gz,C-907_S177_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Varadero reef",Siderastrea siderea,E19.Side.sid.VNA.NA.20170501.T,Illumina MiSeq,not applicable,not applicable,10.3064722 N 75.5855556 W,E19.Side.sid.VNA.NA.20170501.T.C907,PAIRED,PCR,GENOMIC,coral metagenome,NA,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C907,Varadero,Varadero,SRP267486,NA,Reef,NA,NA,30,n,NA,NA,NA,10,NA
SRR12022443,AMPLICON,502,26465440,PRJNA639618,SAMN15241432,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",18168808,THE PENNSYLVANIA STATE UNIVERSITY,2017-05-01,1904-01-01T14:58:00,45,190,170,20170501,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",3.2,coral reef,not applicable,tissue,SRX8554517,Orbicella,faveolata,C-906_S176_L001_R1_001.fastq.gz,C-906_S176_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Varadero reef",Orbicella faveolata,E19.Orbi.fav.VNA.NA.20170501.T,Illumina MiSeq,not applicable,not applicable,10.3064722 N 75.5855556 W,E19.Orbi.fav.VNA.NA.20170501.T.C906,PAIRED,PCR,GENOMIC,coral metagenome,NA,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C906,Varadero,Varadero,SRP267486,NA,Reef,NA,NA,30,n,NA,NA,NA,10,NA
SRR12022444,AMPLICON,502,38679602,PRJNA639618,SAMN15241431,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",26655014,THE PENNSYLVANIA STATE UNIVERSITY,2017-05-01,1904-01-01T14:55:00,10,23,19,20170501,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2.5,coral reef,not applicable,tissue,SRX8554516,Siderastrea,siderea,C-905_S71_L001_R1_001.fastq.gz,C-905_S71_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Varadero reef",Siderastrea siderea,E19.Side.sid.VNA.NA.20170501.T,Illumina MiSeq,not applicable,not applicable,10.3064722 N 75.5855556 W,E19.Side.sid.VNA.NA.20170501.T.C905,PAIRED,PCR,GENOMIC,coral metagenome,NA,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C905,Varadero,Varadero,SRP267486,NA,Reef,NA,NA,30,n,NA,NA,NA,10,NA
SRR12022447,AMPLICON,502,27803270,PRJNA639618,SAMN15241428,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",18413127,THE PENNSYLVANIA STATE UNIVERSITY,2017-05-01,1904-01-01T09:46:00,1,3,5,20170501,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",30,coral reef,not applicable,tissue,SRX8554513,Orbicella,faveolata,C-899_S69_L001_R1_001.fastq.gz,C-899_S69_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Rosario reef\, transplant platform",Orbicella faveolata,E19.Orbi.fav.R70.pos.20170501.T,Illumina MiSeq,not applicable,not applicable,10.1866944 N 75.7452778 W,E19.Orbi.fav.R70.pos.20170501.T.C899,PAIRED,PCR,GENOMIC,coral metagenome,Varadero_66,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C899,Rosario,Rosario,SRP267486,Varadero_Rosario,transplant_platform,yellow,70,12,y,posttransplantation,Varadero,Rosario,29,alive
