SampleID,name,depth,coral.species,sampling.reef.name,status,substrate ,temperature,transplant.status,transplanted.from,transplanted.to,transplantation,visibility,visibility.rank,survivorship,keep
SRR12022424,SRR12022424,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022430,SRR12022430,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022441,SRR12022441,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022446,SRR12022446,30,Orbicella faveolata,Rosario,Varadero_Rosario,transplant_platform,12,posttransplantation,Varadero,Rosario,Medium/Low,29,high,alive,yes
SRR12022447,SRR12022447,30,Orbicella faveolata,Rosario,Varadero_Rosario,transplant_platform,12,posttransplantation,Varadero,Rosario,Medium/Low,29,high,alive,yes
SRR12022448,SRR12022448,30,Orbicella faveolata,Rosario,Varadero_Rosario,transplant_platform,12,posttransplantation,Varadero,Rosario,Medium/Low,29,high,alive,yes
SRR12022449,SRR12022449,30,Orbicella faveolata,Rosario,Rosario_Rosario,transplant_platform,12,posttransplantation,Rosario,Rosario,Low/Low,29,high,alive,yes
SRR12022450,SRR12022450,30,Orbicella faveolata,Rosario,Rosario_Rosario,transplant_platform,12,posttransplantation,Rosario,Rosario,Low/Low,29,high,alive,yes
SRR12022451,SRR12022451,30,Orbicella faveolata,Rosario,Rosario_Rosario,transplant_platform,12,posttransplantation,Rosario,Rosario,Low/Low,29,high,alive,yes
SRR12022452,SRR12022452,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022453,SRR12022453,30,Orbicella faveolata,Rosario,Rosario_Rosario,transplant_platform,12,posttransplantation,Rosario,Rosario,Low/Low,29,high,alive,yes
SRR12022455,SRR12022455,30,Orbicella faveolata,Rosario,Rosario_Rosario,transplant_platform,12,posttransplantation,Rosario,Rosario,Low/Low,29,high,alive,yes
